tag_id,name,category,count,right_tag_cn
1646761,tokai_teio_(umamusume),4,4163,tokai_teio_(umamusume)
1646762,daiwa_scarlet_(umamusume),4,4923,daiwa_scarlet_(umamusume)
1646764,gold_ship_(umamusume),4,4394,gold_ship_(umamusume)
1646765,mejiro_mcqueen_(umamusume),4,5064,mejiro_mcqueen_(umamusume)
1646767,twin_turbo_(umamusume),4,2077,twin_turbo_(umamusume)
1646769,ikuno_dictus_(umamusume),4,725,ikuno_dictus_(umamusume)
1646953,shimaidon_(sex),0,1645,shimaidon_(sex)
1648109,hololive_idol_uniform,0,1071,hololive_idol_uniform
1648167,x-shaped_pupils,0,2039,x-shaped_pupils
1648389,yor_briar,4,7187,yor_briar
1648576,mejiro_palmer_(umamusume),4,795,mejiro_palmer_(umamusume)
1649113,gilles_de_rais_(caster)_(fate),4,1313,gilles_de_rais_(caster)_(fate)
1649138,heracles_(fate),4,756,heracles_(fate)
1649146,gilgamesh_(fate),4,6058,gilgamesh_(fate)
1649150,medusa_(rider)_(fate),4,3872,medusa_(rider)_(fate)
1649152,cu_chulainn_(fate/stay_night),4,3560,cu_chulainn_(fate/stay_night)
1650598,mejiro_ardan_(umamusume),4,899,mejiro_ardan_(umamusume)
1650790,cable_tail,0,761,cable_tail
1651209,fanbox_username,0,2429,fanbox_username
1651926,kamisato_ayaka,4,5404,kamisato_ayaka
1652773,gladiia_(arknights),4,696,gladiia_(arknights)
1653646,aubrey_(omori),4,722,aubrey_(omori)
1654650,skadi_the_corrupting_heart_(arknights),4,1864,skadi_the_corrupting_heart_(arknights)
1654873,himemushi_momoyo,4,912,himemushi_momoyo
1654875,shigure_(blue_archive),4,718,shigure_(blue_archive)
1654886,kudamaki_tsukasa,4,2008,kudamaki_tsukasa
1654887,iizunamaru_megumu,4,1667,iizunamaru_megumu
1654888,tenkyuu_chimata,4,1226,tenkyuu_chimata
1657250,finana_ryugu,4,1077,finana_ryugu
1657251,elira_pendora,4,1840,elira_pendora
1657252,pomu_rainpuff,4,1387,pomu_rainpuff
1657407,blue_poison_(shoal_beat)_(arknights),4,769,blue_poison_(shoal_beat)_(arknights)
1657712,veiny_arms,0,1977,veiny_arms
1657724,just_the_tip,0,1316,just_the_tip
1658781,scaramouche_(genshin_impact),4,4798,scaramouche_(genshin_impact)
1658838,sakura_chiyono_o_(umamusume),4,740,sakura_chiyono_o_(umamusume)
1659960,holed_coin,0,785,holed_coin
1660126,implied_extra_ears,0,676,implied_extra_ears
1660195,long_earlobes,0,1052,long_earlobes
1660217,lucoa_(maidragon),4,1132,lucoa_(maidragon)
1660592,hanako_(blue_archive),4,3418,hanako_(blue_archive)
1660762,new_jersey_(azur_lane),4,1007,new_jersey_(azur_lane)
1661326,content_rating,0,8043,content_rating
1661800,used_condom_on_penis,0,850,used_condom_on_penis
1662233,jujutsu_tech_uniform,0,1185,jujutsu_tech_uniform
1663181,alice_(alice_in_wonderland)_(cosplay),0,1172,alice_(alice_in_wonderland)_(cosplay)
1663193,white_rabbit_(alice_in_wonderland),4,844,white_rabbit_(alice_in_wonderland)
1663426,see-through_swimsuit,0,691,see-through_swimsuit
1664919,yoimiya_(genshin_impact),4,2771,yoimiya_(genshin_impact)
1665000,dashed_eyes,0,1045,dashed_eyes
1665104,sayu_(genshin_impact),4,845,sayu_(genshin_impact)
1665128,gorou_(genshin_impact),4,957,gorou_(genshin_impact)
1665195,reference_inset,0,2715,reference_inset
1665347,full-body_tattoo,0,1630,full-body_tattoo
1665648,kanba_girls_high_school_uniform,0,766,kanba_girls_high_school_uniform
1665751,t-head_trainer,4,1676,t-head_trainer
1666453,mage_staff,0,1233,mage_staff
1667133,hk416_(girls'_frontline),4,4872,hk416_(girls'_frontline)
1667136,ump45_(girls'_frontline),4,3266,ump45_(girls'_frontline)
1667138,wa2000_(girls'_frontline),4,2565,wa2000_(girls'_frontline)
1667140,ump9_(girls'_frontline),4,2239,ump9_(girls'_frontline)
1667145,ak-12_(girls'_frontline),4,1915,ak-12_(girls'_frontline)
1667146,g11_(girls'_frontline),4,1464,g11_(girls'_frontline)
1667148,m4a1_(girls'_frontline),4,1551,m4a1_(girls'_frontline)
1667150,st_ar-15_(girls'_frontline),4,1398,st_ar-15_(girls'_frontline)
1667152,m4_sopmod_ii_(girls'_frontline),4,1450,m4_sopmod_ii_(girls'_frontline)
1667154,an-94_(girls'_frontline),4,1552,an-94_(girls'_frontline)
1667157,m16a1_(girls'_frontline),4,1407,m16a1_(girls'_frontline)
1667163,commander_(girls'_frontline),4,1543,commander_(girls'_frontline)
1667164,g41_(girls'_frontline),4,698,g41_(girls'_frontline)
1667166,ro635_(girls'_frontline),4,1036,ro635_(girls'_frontline)
1667168,dinergate_(girls'_frontline),4,865,dinergate_(girls'_frontline)
1667169,negev_(girls'_frontline),4,711,negev_(girls'_frontline)
1667171,g36_(girls'_frontline),4,864,g36_(girls'_frontline)
1667202,kalina_(girls'_frontline),4,847,kalina_(girls'_frontline)
1667205,9a-91_(girls'_frontline),4,688,9a-91_(girls'_frontline)
1667213,m200_(girls'_frontline),4,1165,m200_(girls'_frontline)
1667232,rpk-16_(girls'_frontline),4,857,rpk-16_(girls'_frontline)
1667329,oberon_(fate),4,1619,oberon_(fate)
1667541,pom_pom_(cheerleading),0,15083,pom_pom_(cheerleading)
1667891,pom_pom_hair_ornament,0,2918,pom_pom_hair_ornament
1668461,kaf_(kamitsubaki_studio),4,822,kaf_(kamitsubaki_studio)
1669073,official_alternate_hair_length,0,6926,official_alternate_hair_length
1669227,hugging_own_legs,0,12529,hugging_own_legs
1670077,springfield_(girls'_frontline),4,2070,springfield_(girls'_frontline)
1670355,furry_with_furry,0,2602,furry_with_furry
1670357,furry_with_non-furry,0,5004,furry_with_non-furry
1670429,aegir_(azur_lane),4,922,aegir_(azur_lane)
1670660,animal_hands,0,26895,animal_hands
1670933,index_(toaru_majutsu_no_index),4,1833,index_(toaru_majutsu_no_index)
1670936,accelerator_(toaru_majutsu_no_index),4,2597,accelerator_(toaru_majutsu_no_index)
1670940,last_order_(toaru_majutsu_no_index),4,1821,last_order_(toaru_majutsu_no_index)
1671353,tarnished_(elden_ring),4,898,tarnished_(elden_ring)
1671729,sirius_symboli_(umamusume),4,1272,sirius_symboli_(umamusume)
1672268,qingxin_flower,0,817,qingxin_flower
1672391,viewer_holding_leash,0,1848,viewer_holding_leash
1672630,baton_(weapon),0,679,baton_(weapon)
1672682,type_95_(girls'_frontline),4,946,type_95_(girls'_frontline)
1672711,suomi_(girls'_frontline),4,938,suomi_(girls'_frontline)
1672736,twilight_(spy_x_family),4,2656,twilight_(spy_x_family)
1673135,fat_rolls,0,847,fat_rolls
1673151,uneven_sleeves,0,2748,uneven_sleeves
1674016,manya_(dq4),4,768,manya_(dq4)
1674212,irys_(hololive),4,2379,irys_(hololive)
1674442,covered_testicles,0,980,covered_testicles
1675004,elysia_(honkai_impact),4,1547,elysia_(honkai_impact)
1675744,selen_tatsuki,4,1765,selen_tatsuki
1675745,petra_gurin,4,782,petra_gurin
1675931,kalashnikov_rifle,0,2262,kalashnikov_rifle
1675937,kaedehara_kazuha,4,2906,kaedehara_kazuha
1676220,peroro_(blue_archive),4,1542,peroro_(blue_archive)
1676518,thoma_(genshin_impact),4,943,thoma_(genshin_impact)
1677017,barghest_(fate),4,1392,barghest_(fate)
1677019,baobhan_sith_(fate),4,2149,baobhan_sith_(fate)
1677021,melusine_(fate),4,1504,melusine_(fate)
1677248,lain_paterson,4,690,lain_paterson
1677790,blood_on_knife,0,1485,blood_on_knife
1677791,blood_on_bandages,0,689,blood_on_bandages
1678267,palette_(object),0,1880,palette_(object)
1678851,mizuki_(arknights),4,762,mizuki_(arknights)
1678878,la_pluma_(arknights),4,898,la_pluma_(arknights)
1678980,sangonomiya_kokomi,4,3226,sangonomiya_kokomi
1678981,kujou_sara,4,1927,kujou_sara
1679660,ibuki_(blue_archive),4,883,ibuki_(blue_archive)
1680143,pegasus_knight_uniform_(fire_emblem),0,882,pegasus_knight_uniform_(fire_emblem)
1680295,mika_(blue_archive),4,5105,mika_(blue_archive)
1680296,nagisa_(blue_archive),4,873,nagisa_(blue_archive)
1680379,mash_kyrielight_(dangerous_beast),4,2132,mash_kyrielight_(dangerous_beast)
1680386,senji_muramasa_(fate),4,853,senji_muramasa_(fate)
1681025,emotionless_sex,0,839,emotionless_sex
1681088,furry_female,0,25433,furry_female
1681089,furry_male,0,20533,furry_male
1681601,mash_kyrielight_(dangerous_beast)_(cosplay),0,1166,mash_kyrielight_(dangerous_beast)_(cosplay)
1682530,tamamo_no_mae_(fate/extra),4,6464,tamamo_no_mae_(fate/extra)
1682533,nero_claudius_(fate/extra),4,4787,nero_claudius_(fate/extra)
1682536,alternate_muscle_size,0,1156,alternate_muscle_size
1682706,phoenix_crown,0,1641,phoenix_crown
1682831,kitasan_black_(umamusume),4,2721,kitasan_black_(umamusume)
1682833,satono_diamond_(umamusume),4,2877,satono_diamond_(umamusume)
1682834,matikane_tannhauser_(umamusume),4,1564,matikane_tannhauser_(umamusume)
1682855,hand_focus,0,751,hand_focus
1682857,holding_with_tail,0,668,holding_with_tail
1682867,iroha_(blue_archive),4,1699,iroha_(blue_archive)
1682871,kazusa_(blue_archive),4,2684,kazusa_(blue_archive)
1682879,seia_(blue_archive),4,1245,seia_(blue_archive)
1682885,atsuko_(blue_archive),4,798,atsuko_(blue_archive)
1682888,saori_(blue_archive),4,2114,saori_(blue_archive)
1682889,wakamo_(blue_archive),4,1190,wakamo_(blue_archive)
1684568,paint_splatter_on_face,0,958,paint_splatter_on_face
1684742,t.m._opera_o_(umamusume),4,1111,t.m._opera_o_(umamusume)
1684743,mr._c.b._(umamusume),4,1402,mr._c.b._(umamusume)
1684797,grabbing_another's_chin,0,1920,grabbing_another's_chin
1684829,heads_together,0,7741,heads_together
1684874,laevatein_(touhou),0,3820,laevatein_(touhou)
1684882,florence_nightingale_(trick_or_treatment)_(fate),4,1018,florence_nightingale_(trick_or_treatment)_(fate)
1684976,craft_essence_(fate),0,740,craft_essence_(fate)
1685196,hakama_short_skirt,0,12172,hakama_short_skirt
1685269,ceres_fauna,4,2971,ceres_fauna
1685270,hakos_baelz,4,3460,hakos_baelz
1685271,nanashi_mumei,4,5378,nanashi_mumei
1685272,ouro_kronii,4,5419,ouro_kronii
1685273,tsukumo_sana,4,1376,tsukumo_sana
1685846,rei_(pokemon),4,759,rei_(pokemon)
1685910,painting_(medium),0,13693,painting_(medium)
1686123,black_armband,0,853,black_armband
1686237,raiden_shogun,4,12239,raiden_shogun
1686527,jack-o'_challenge,0,2094,jack-o'_challenge
1686625,conte_di_cavour_(kancolle),4,633,conte_di_cavour_(kancolle)
1686763,saint_quartz_(fate),0,688,saint_quartz_(fate)
1686868,mr._squeaks_(hakos_baelz),4,674,mr._squeaks_(hakos_baelz)
1686891,friend_(nanashi_mumei),4,835,friend_(nanashi_mumei)
1687001,male_underwear_pull,0,951,male_underwear_pull
