tag_id,name,category,count,right_tag_cn,game
1670933,index_(toaru_majutsu_no_index),4,1833,index_(toaru_majutsu_no_index),toaru_majutsu_no_index
1670936,accelerator_(toaru_majutsu_no_index),4,2597,accelerator_(toaru_majutsu_no_index),toaru_majutsu_no_index
1670940,last_order_(toaru_majutsu_no_index),4,1821,last_order_(toaru_majutsu_no_index),toaru_majutsu_no_index
1593360,bibi_(tokoyami_towa),4,1444,bibi_(tokoyami_towa),tokoyami_towa
1579902,nata_(tool),0,1195,nata_(tool),tool
1304942,female_saniwa_(touken_ranbu),4,810,female_saniwa_(touken_ranbu),touken_ranbu
1305416,saniwa_(touken_ranbu),4,1167,saniwa_(touken_ranbu),touken_ranbu
533537,ciel_(tsukihime),4,1265,ciel_(tsukihime),tsukihime
1606513,len_(tsukihime),4,1022,len_(tsukihime),tsukihime
533539,kohaku_(tsukihime),4,1212,kohaku_(tsukihime),tsukihime
533538,hisui_(tsukihime),4,985,hisui_(tsukihime),tsukihime
1690649,limiter_(tsukumo_sana),0,730,limiter_(tsukumo_sana),tsukumo_sana
1589924,simon_(ttgl),4,2447,simon_(ttgl),ttgl
1589926,kamina_(ttgl),4,1404,kamina_(ttgl),ttgl
539789,beatrice_(umineko),4,2772,beatrice_(umineko),umineko
1335210,chara_(undertale),4,841,chara_(undertale),undertale
1334050,frisk_(undertale),4,1185,frisk_(undertale),undertale
1509864,prinz_eugen_(unfading_smile)_(azur_lane),4,1089,prinz_eugen_(unfading_smile)_(azur_lane),unfading_smile)_(azur_lane
1593304,don-chan_(usada_pekora),4,2876,don-chan_(usada_pekora),usada_pekora
1979031,pekomon_(usada_pekora),4,813,pekomon_(usada_pekora),usada_pekora
1972284,ado_(utaite),4,810,ado_(utaite),utaite
1584593,felicia_(vampire),4,1722,felicia_(vampire),vampire
657125,ia_(vocaloid),4,2163,ia_(vocaloid),vocaloid
669326,kaito_(vocaloid),4,6369,kaito_(vocaloid),vocaloid
710903,meiko_(vocaloid),4,5301,meiko_(vocaloid),vocaloid
1514243,shigure_ui_(vtuber),4,1217,shigure_ui_(vtuber),vtuber
1596529,bubba_(watson_amelia),4,694,bubba_(watson_amelia),watson_amelia
1672630,baton_(weapon),0,679,baton_(weapon),weapon
1491455,stiletto_(weapon),0,764,stiletto_(weapon),weapon
862221,club_(weapon),0,3010,club_(weapon),weapon
2063323,amane_kanata_(work),4,860,amane_kanata_(work),work
2061468,oozora_subaru_(work),4,774,oozora_subaru_(work),work
1424365,pyra_(xenoblade),4,6291,pyra_(xenoblade),xenoblade
1591026,pneuma_(xenoblade),4,840,pneuma_(xenoblade),xenoblade
1556681,rex_(xenoblade),4,1421,rex_(xenoblade),xenoblade
1449263,nia_(xenoblade),4,2449,nia_(xenoblade),xenoblade
1754603,mio_(xenoblade),4,1003,mio_(xenoblade),xenoblade
1754602,eunie_(xenoblade),4,954,eunie_(xenoblade),xenoblade
1590956,mythra_(xenoblade),4,5611,mythra_(xenoblade),xenoblade
2058788,youkai_(youkai_watch),0,746,youkai_(youkai_watch),youkai_watch
487910,joseph_joestar_(young),4,6351,joseph_joestar_(young),young
1875918,tiki_(young)_(fire_emblem),4,834,tiki_(young)_(fire_emblem),young)_(fire_emblem
1604448,duel_academy_uniform_(yu-gi-oh!_gx),0,1165,duel_academy_uniform_(yu-gi-oh!_gx),yu-gi-oh!_gx
1912119,champion's_tunic_(zelda),0,2464,champion's_tunic_(zelda),zelda
